"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SVG", "comment", "blank", "total"
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PTag\IPTagProps.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PTag\PTag.module.css", "CSS", 0, 0, 22, 0, 0, 4, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PTag\PTag.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 6, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PageSelect\IPageSelectProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PageSelect\PageSelect.module.css", "CSS", 0, 0, 15, 0, 0, 1, 16
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PageSelect\PageSelect.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 7, 29
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleInput\IPaleInputProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleInput\PaleInput.module.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleInput\PaleInput.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleSelect\IPaleSelectProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleSelect\PaleSelect.module.css", "CSS", 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleSelect\PaleSelect.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 6, 18
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Plus\IPlusProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Plus\Plus.module.css", "CSS", 0, 0, 13, 0, 0, 1, 14
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Plus\Plus.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 5, 17
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\RemoveButton\IRemoveButtomProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\RemoveButton\RemoveButton.module.css", "CSS", 0, 0, 6, 0, 0, 1, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\RemoveButton\RemoveButton.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 6, 18
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\SearchInput\ISearchInputProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\SearchInput\SearchInput.module.css", "CSS", 0, 0, 27, 0, 0, 4, 31
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\SearchInput\SearchInput.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 6, 36
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Select\ISelectProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Select\Select.module.css", "CSS", 0, 0, 17, 0, 0, 2, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Select\Select.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\ITableProps.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TBody\TBody.tsx", "TypeScript JSX", 0, 33, 0, 0, 1, 5, 39
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\THead\ITHeadProps.ts", "TypeScript", 6, 0, 0, 0, 1, 2, 9
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\THead\THead.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 6, 36
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\Table.module.css", "CSS", 0, 0, 22, 0, 0, 4, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\Table.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 5, 39
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TableTr\ITableTr.ts", "TypeScript", 8, 0, 0, 0, 1, 1, 10
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TableTr\TableTr.module.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TableTr\TableTr.tsx", "TypeScript JSX", 0, 40, 0, 0, 2, 8, 50
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Textarea\ITextareaProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Textarea\Textarea.module.css", "CSS", 0, 0, 15, 0, 0, 2, 17
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Textarea\Textarea.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 5, 18
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\getFeatures.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\lead-data-to-correct.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\make-price.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\random-id.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\transform-data.ts", "TypeScript", 14, 0, 0, 0, 0, 4, 18
"c:\Users\User\Desktop\navigation-categories-page\src\index.css", "CSS", 0, 0, 26, 0, 0, 3, 29
"c:\Users\User\Desktop\navigation-categories-page\src\index.tsx", "TypeScript JSX", 0, 17, 0, 0, 3, 5, 25
"c:\Users\User\Desktop\navigation-categories-page\src\logo.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\navigation-categories-page\src\mock\categoty.mock.ts", "TypeScript", 63, 0, 0, 0, 0, 1, 64
"c:\Users\User\Desktop\navigation-categories-page\src\mock\goods.mock.ts", "TypeScript", 8129, 0, 0, 0, 0, 1, 8130
"c:\Users\User\Desktop\navigation-categories-page\src\mock\product-modal.mock.ts", "TypeScript", 154, 0, 0, 0, 0, 1, 155
"c:\Users\User\Desktop\navigation-categories-page\src\mock\sub_category.mock.ts", "TypeScript", 290, 0, 0, 0, 0, 1, 291
"c:\Users\User\Desktop\navigation-categories-page\src\mock\table-user.mock.ts", "TypeScript", 8005, 0, 0, 0, 0, 1, 8006
"c:\Users\User\Desktop\navigation-categories-page\src\mock\users.mock.ts", "TypeScript", 8006, 0, 0, 0, 0, 1, 8007
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Banners\Banners.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Brands\Brands.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Categories.module.css", "CSS", 0, 0, 42, 0, 0, 6, 48
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Categories.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 13, 121
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\EditCategoryItem\EditCategoryItem.module.css", "CSS", 0, 0, 25, 0, 0, 4, 29
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\EditCategoryItem\EditCategoryItem.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 11, 57
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\EditCategoryItem\IEditCategoryProps.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Placeholder\IPlaceholderProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Placeholder\Placeholder.module.css", "CSS", 0, 0, 12, 0, 0, 2, 14
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Placeholder\Placeholder.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Cities\Cities.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\ActionPages\ActionPages.module.css", "CSS", 0, 0, 7, 0, 0, 1, 8
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\ActionPages\ActionPages.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 5, 30
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\Clients.module.css", "CSS", 0, 0, 8, 0, 0, 1, 9
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\Clients.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Home\Home.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Login\Login.module.css", "CSS", 0, 0, 22, 0, 0, 4, 26
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Login\Login.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 7, 55
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Orders\Orders.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Products\Products.module.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Products\Products.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 8, 57
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Products\TestProduct\TestProduct.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Promocode\Promocode.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Protocols\Protocols.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Register\Register.module.css", "CSS", 0, 0, 18, 0, 0, 3, 21
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Register\Register.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 6, 50
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Seminars\Seminars.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\arrow-right.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\banners.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\brands.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\categories.svg", "SVG", 0, 0, 0, 6, 0, 10, 16
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\cities.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\clear.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\codes.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\delete.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\dropdown.svg", "SVG", 0, 0, 0, 3, 0, 2, 5
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\edit.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\en-arrow-right.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\link.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\no-image.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\orders.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\password.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\products.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\protocols.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\remove.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\remove_bnt.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\search.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\seminars.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\trash.svg", "SVG", 0, 0, 0, 3, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\public\assets\images\users.svg", "SVG", 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\navigation-categories-page\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\User\Desktop\navigation-categories-page\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\User\Desktop\navigation-categories-page\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 4, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\shared\constants\list-items.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 2, 95
"c:\Users\User\Desktop\navigation-categories-page\src\shared\constants\select-values.ts", "TypeScript", 15, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\navigation-categories-page\src\shared\constants\table-data.ts", "TypeScript", 51, 0, 0, 0, 0, 2, 53
"c:\Users\User\Desktop\navigation-categories-page\src\shared\constants\table-row-item.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
"c:\Users\User\Desktop\navigation-categories-page\src\shared\interfaces\IClientsShape.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\shared\interfaces\IListItem.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\navigation-categories-page\src\shared\interfaces\IProduct.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"c:\Users\User\Desktop\navigation-categories-page\src\shared\interfaces\ISelectValues.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\shared\interfaces\Itable-row-items.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\navigation-categories-page\src\shared\interfaces\Iuser.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\navigation-categories-page\src\shared\shape\product-additive.ts", "TypeScript", 62, 0, 0, 0, 0, 1, 63
"c:\Users\User\Desktop\navigation-categories-page\src\shared\shape\shape-of-clients.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\shared\shape\shape-of-products.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\shared\types\IFeature.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\navigation-categories-page\src\shared\types\IHeadTable.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\navigation-categories-page\src\shared\types\TCatalogProduct.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\shared\types\TCategory.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\shared\types\TSubCategory.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\navigation-categories-page\src\shared\types\TTag.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"Total", "-", 25192, 1704, 971, 100, 27, 697, 28691